CUSIP,ISIN,Current Face in Local Currency in Thousand,Current Face in USD,99-20 or not,Intention,Book Price,Excluded from Analysis?
46640JAW7,,2000," 2,000,000.00 ",No,AFS,94.6308,NO
12626GAR4,,1835," 1,835,000.00 ",No,AFS,99.3070,NO
05947UX29,US05947UX296,1373," 1,373,402.01 ",No,AFS,100.0103,NO
059511AB1,US059511AB13,2444," 2,444,022.61 ",No,AFS,100.1655,NO
46631QAC6,US46631QAC69,1173," 1,172,868.97 ",No,AFS,100.1417,NO
396789JU4,US396789JU46,860," 859,826.09 ",No,AFS,100.5085,NO
61762DAU5,US61762DAU54,1781," 1,781,000.00 ",No,AFS,98.4660,NO
96221QAK9,,1664," 1,664,000.00 ",No,AFS,97.5699,NO
55313KAD3,US55313KAD37,1317," 1,317,480.37 ",No,AFS,101.4453,NO
17321JAH7,US17321JAH77,1200," 1,200,000.00 ",No,AFS,97.6792,NO
12624XAT5,,1310," 1,310,000.00 ",No,AFS,99.7574,NO
22546NAB0,US22546NAB01,1268," 1,267,958.01 ",No,AFS,102.6472,NO
12624KAC0,US12624KAC09,1179," 1,179,000.00 ",No,AFS,100.1302,NO
90270YAL3,,1170," 1,170,000.00 ",No,AFS,102.6557,NO
361849F56,US361849F561,50," 49,750.37 ",No,AFS,100.0000,NO
12591KAK1,,1000," 1,000,000.00 ",No,AFS,101.2835,NO
92976BDV1,US92976BDV18,1000," 1,000,000.00 ",No,AFS,106.7330,NO
20047RAQ6,US20047RAQ65,50000," 50,000,000.00 ",No,AFS,100.0000,NO
61752LAB1,US61752LAB18,6000," 5,999,846.61 ",No,AFS,100.0000,NO
617451BR9,US617451BR94,50110," 50,110,000.00 ",No,AFS,99.6601,NO
07387BFU2,US07387BFU26,37750," 37,750,000.00 ",No,AFS,100.1820,NO
36228CWX7,US36228CWX72,45500," 45,500,000.00 ",No,AFS,101.3760,NO
61745M6G3,US61745M6G32,49512," 49,512,000.00 ",No,AFS,100.9548,NO
50179MAG6,US50179MAG69,30264," 30,264,000.00 ",No,AFS,99.1044,NO
07387JAG1,US07387JAG13,24903," 24,903,000.00 ",No,AFS,100.1089,NO
07387JAE6,US07387JAE64,34719," 34,718,864.21 ",No,AFS,102.5847,NO
46625YQT3,US46625YQT37,25000," 25,000,000.00 ",No,AFS,100.0465,NO
05950VAC4,US05950VAC46,25000," 25,000,000.00 ",No,AFS,100.0899,NO
61750HAE6,US61750HAE62,22447," 22,446,948.46 ",No,AFS,99.4402,NO
55312TAC7,US55312TAC71,20689," 20,689,000.00 ",No,AFS,100.1319,NO
92976BBN1,US92976BBN10,19115," 19,115,190.32 ",No,AFS,102.8968,NO
059511AC9,US059511AC95,20000," 20,000,000.00 ",No,AFS,100.0924,NO
50180CAD2,US50180CAD20,28830," 28,830,000.00 ",No,AFS,105.5888,NO
05950EAC2,US05950EAC21,18006," 18,006,194.55 ",No,AFS,100.0493,NO
61750CAF4,US61750CAF41,15403," 15,402,723.42 ",No,AFS,99.6074,NO
20047RAE3,US20047RAE36,30000," 30,000,000.00 ",No,AFS,106.1848,NO
07388NAE6,US07388NAE67,15338," 15,337,671.07 ",No,AFS,104.8464,NO
617458AE4,US617458AE44,15000," 15,000,000.00 ",No,AFS,103.2876,NO
46631QAD4,US46631QAD43,14943," 14,942,719.00 ",No,AFS,107.4887,NO
61750WAX1,US61750WAX11,27190," 27,189,695.13 ",No,AFS,104.1890,NO
12631DBB8,,15000," 15,000,000.00 ",No,AFS,104.1018,NO
52108RAE2,US52108RAE27,19669," 19,669,362.28 ",No,AFS,104.4887,NO
20173MAE0,US20173MAE03,14508," 14,507,738.16 ",No,AFS,103.3987,NO
46642EAY2,,15000," 15,000,000.00 ",No,AFS,103.3849,NO
36198EAB1,,15000," 15,000,000.00 ",No,AFS,102.3838,NO
59022HFY3,US59022HFY36,13626," 13,626,167.72 ",No,AFS,101.0084,NO
90349DAD4,,15000," 15,000,000.00 ",No,AFS,102.0691,NO
92930RBB7,,15000," 15,000,000.00 ",No,AFS,102.0757,NO
20173QAE1,US20173QAE17,12749," 12,749,000.00 ",No,AFS,106.3839,NO
46630VAD4,US46630VAD47,12000," 12,000,000.00 ",No,AFS,104.0938,NO
46625YVU4,US46625YVU45,13028," 13,027,573.43 ",No,AFS,100.0000,NO
50179AAE7,US50179AAE73,11835," 11,834,838.87 ",No,AFS,103.8687,NO
90270YBF5,,12434," 12,434,000.00 ",No,AFS,102.2396,NO
46630JAC3,US46630JAC36,11354," 11,353,667.48 ",No,AFS,105.0834,NO
46632HAD3,US46632HAD35,11115," 11,115,000.00 ",No,AFS,104.2560,NO
92937EAZ7,,12200," 12,200,000.00 ",No,AFS,102.1984,NO
61756UAE1,US61756UAE10,10858," 10,857,992.65 ",No,AFS,109.4583,NO
23305YBB4,US23305YBB48,21000," 21,000,000.00 ",No,AFS,101.3027,NO
36828QQD1,US36828QQD15,9866," 9,866,496.40 ",No,AFS,100.0361,NO
07387BEB5,,9743," 9,743,183.85 ",No,AFS,103.2579,NO
61754JAF5,US61754JAF57,10000," 10,000,000.00 ",No,AFS,107.6585,NO
07388QAE9,US07388QAE98,20000," 20,000,000.00 ",No,AFS,104.6421,NO
60688CAE6,US60688CAE66,10000," 10,000,000.00 ",No,AFS,111.0815,NO
50177AAE9,US50177AAE91,10000," 10,000,000.00 ",No,AFS,103.5420,NO
61751XAE0,US61751XAE04,9864," 9,864,293.08 ",No,AFS,105.0335,NO
46629PAC2,US46629PAC23,9867," 9,866,573.43 ",No,AFS,102.6256,NO
55312VAD0,US55312VAD01,10000," 10,000,000.00 ",No,AFS,103.0661,NO
46630EAC4,US46630EAC49,20000," 20,000,000.00 ",No,AFS,103.1831,NO
20048EAY7,US20048EAY77,10905," 10,905,000.00 ",No,AFS,100.4833,NO
46640LAJ1,,10000," 10,000,000.00 ",No,AFS,99.5865,NO
05950EAE8,US05950EAE86,9960," 9,960,000.00 ",No,AFS,104.5511,NO
92978PAE9,US92978PAE97,9830," 9,829,568.89 ",No,AFS,104.4166,NO
07387MAE9,US07387MAE93,9946," 9,946,406.17 ",No,AFS,103.6172,NO
46641WAV9,,10000," 10,000,000.00 ",No,AFS,102.9829,NO
17318UAD6,,14650," 14,650,000.00 ",No,AFS,102.1650,NO
14986DAF7,US14986DAF78,8944," 8,943,989.43 ",No,AFS,104.4652,NO
46629MAF2,US46629MAF23,9301," 9,300,536.05 ",No,AFS,104.5819,NO
46629GAE8,US46629GAE89,9700," 9,699,539.26 ",No,AFS,105.1916,NO
396789LL1,US396789LL19,10035," 10,035,000.00 ",No,AFS,101.8494,NO
36191YAZ1,US36191YAZ16,10000," 10,000,000.00 ",No,AFS,100.3980,NO
07388LAE0,US07388LAE02,9558," 9,558,432.56 ",No,AFS,104.3358,NO
12623SAB6,,10345," 10,345,000.00 ",No,AFS,101.6104,NO
361849Q39,US361849Q394,10000," 10,000,000.00 ",No,AFS,100.0313,NO
12625KAL9,,10000," 10,000,000.00 ",No,AFS,102.7055,NO
36228CVV2,,10000," 10,000,000.00 ",No,AFS,100.0360,NO
90269GAC5,US90269GAC50,10000," 10,000,000.00 ",No,AFS,104.2472,NO
61751NAF9,US61751NAF96,9329," 9,329,000.00 ",No,AFS,105.1289,NO
52109RBM2,US52109RBM25,15433," 15,432,874.29 ",No,AFS,108.1086,NO
07388VAE8,US07388VAE83,9205," 9,205,000.00 ",No,AFS,106.8447,NO
190749AE1,US190749AE17,9051," 9,051,239.61 ",No,AFS,101.7859,NO
61761DAB8,US61761DAB82,10000," 10,000,000.00 ",No,AFS,101.8767,NO
46628FAF8,US46628FAF80,9350," 9,350,000.00 ",No,AFS,103.2472,NO
12624PAC9,US12624PAC95,10000," 10,000,000.00 ",No,AFS,101.5645,NO
46625YZX4,US46625YZX48,8791," 8,791,477.14 ",No,AFS,103.7464,NO
22545MAD9,US22545MAD92,8642," 8,642,438.62 ",No,AFS,102.3581,NO
05952AAE4,US05952AAE47,8000," 8,000,000.00 ",No,AFS,106.6125,NO
36248FAN2,US36248FAN24,8000," 8,000,000.00 ",No,AFS,113.6742,NO
225458DM7,US225458DM76,6342," 6,341,820.94 ",No,AFS,100.7040,NO
059513AE1,US059513AE18,7803," 7,803,069.62 ",No,AFS,104.7887,NO
92976BDT6,US92976BDT61,8188," 8,187,766.12 ",No,AFS,101.8750,NO
07387BCJ0,US07387BCJ08,8470," 8,469,953.92 ",No,AFS,100.0000,NO
05950XAE6,US05950XAE67,7840," 7,840,064.00 ",No,AFS,108.5710,NO
92890FAU0,,15000," 15,000,000.00 ",No,AFS,104.9469,NO
46641BAE3,,8000," 8,000,000.00 ",No,AFS,102.7903,NO
46639EAB7,,8300," 8,300,000.00 ",No,AFS,101.8779,NO
17322VAT3,,8000," 8,000,000.00 ",No,AFS,102.9572,NO
05947UX37,US05947UX379,7830," 7,830,000.00 ",No,AFS,102.1084,NO
46627QBA5,US46627QBA58,13570," 13,569,655.47 ",No,AFS,102.9700,NO
46639JAE0,,8000," 8,000,000.00 ",No,AFS,102.6898,NO
61757LAE0,US61757LAE02,6970," 6,970,000.00 ",No,AFS,109.2415,NO
233050AN3,US233050AN33,7431," 7,431,185.54 ",No,AFS,102.6527,NO
12626LAC6,,7309," 7,309,000.00 ",No,AFS,102.6236,NO
46636VAB2,,7195," 7,195,406.84 ",No,AFS,100.5032,NO
46636VAD8,,7000," 7,000,000.00 ",No,AFS,100.7578,NO
46637WAD5,US46637WAD56,7137," 7,137,000.00 ",No,AFS,101.6485,NO
36828QQE9,US36828QQE97,7000," 7,000,000.00 ",No,AFS,102.6635,NO
22545DAD9,US22545DAD93,6595," 6,594,665.14 ",No,AFS,101.7473,NO
61761AAZ1,US61761AAZ12,7000," 7,000,000.00 ",No,AFS,101.7517,NO
46625YUC5,US46625YUC55,6750," 6,750,000.00 ",No,AFS,101.1975,NO
17311QBK5,US17311QBK58,6300," 6,300,000.00 ",No,AFS,106.1026,NO
50179MAE1,US50179MAE12,6317," 6,317,000.00 ",No,AFS,105.9605,NO
23305XAH4,US23305XAH44,6000," 6,000,000.00 ",No,AFS,107.0361,NO
46629YAC3,US46629YAC30,6035," 6,035,362.41 ",No,AFS,108.1716,NO
12624PAL9,US12624PAL94,6500," 6,500,000.00 ",No,AFS,104.5205,NO
05950EAG3,US05950EAG35,6000," 6,000,000.00 ",No,AFS,102.6389,NO
396789JW0,US396789JW02,6350," 6,350,000.00 ",No,AFS,100.3425,NO
92937FAD3,,6435," 6,435,000.00 ",No,AFS,102.6930,NO
929766WL3,US929766WL37,4007," 4,007,454.14 ",No,AFS,100.0000,NO
05947U2R8,US05947U2R86,6046," 6,046,077.02 ",No,AFS,102.3831,NO
61745M3F8,US61745M3F85,8067," 8,067,516.06 ",No,AFS,100.7774,NO
12626GAB9,,6000," 6,000,000.00 ",No,AFS,102.5333,NO
46634SAD7,US46634SAD71,6000," 6,000,000.00 ",No,AFS,102.1314,NO
225470NM1,US225470NM11,5880," 5,880,000.00 ",No,AFS,100.0262,NO
92976VAE8,US92976VAE83,5715," 5,714,757.98 ",No,AFS,103.9130,NO
46635TAK8,US46635TAK88,5600," 5,600,000.00 ",No,AFS,105.2600,NO
9297664T7,US9297664T70,5650," 5,650,000.00 ",No,AFS,101.3284,NO
52108HYK4,US52108HYK49,5377," 5,377,195.09 ",No,AFS,99.2128,NO
46634GAB7,US46634GAB77,5000," 5,000,000.00 ",No,AFS,108.2435,NO
61761QAE3,,5675," 5,675,000.00 ",No,AFS,102.6792,NO
46625YSH7,US46625YSH70,5350," 5,350,000.00 ",No,AFS,101.0237,NO
52108H3H5,US52108H3H51,10120," 10,120,000.00 ",No,AFS,101.3905,NO
92938GAE8,,5250," 5,250,000.00 ",No,AFS,102.8043,NO
07388PAE1,US07388PAE16,5000," 5,000,000.00 ",No,AFS,109.9683,NO
46640LAK8,,5170," 5,170,000.00 ",No,AFS,96.9834,NO
12626LAW2,,10000," 10,000,000.00 ",No,AFS,97.5599,NO
059511AD7,US059511AD78,4877," 4,877,407.22 ",No,AFS,100.0931,NO
20048EBC4,US20048EBC49,5255," 5,255,000.00 ",No,AFS,105.2717,NO
61763BAX2,US61763BAX29,5000," 5,000,000.00 ",No,AFS,106.6867,NO
12592GBD4,,5000," 5,000,000.00 ",No,AFS,102.9902,NO
38172QAC8,US38172QAC87,160," 160,176.82 ",No,AFS,15.4474,NO
09202EAA4,,76," 76,072.01 ",No,AFS,0.0100,NO
131248AC0,US131248AC01,52494," 52,494,459.16 ",No,AFS,97.1129,NO
26250CAS4,,50000," 50,000,000.00 ",No,AFS,100.0000,NO
14309QAQ4,,50000," 50,000,000.00 ",No,AFS,100.0000,NO
38173AAL2,,50000," 50,000,000.00 ",No,AFS,100.0000,NO
92327JAC5,US92327JAC53,50000," 50,000,000.00 ",No,AFS,96.2523,NO
381425AA5,US381425AA58,47004," 47,004,300.85 ",No,AFS,95.8935,NO
00083VAC5,US00083VAC54,46184," 46,184,021.77 ",No,AFS,98.1851,NO
86176YAB8,US86176YAB83,43128," 43,127,950.15 ",No,AFS,98.8199,NO
15642PAB2,US15642PAB22,38958," 38,957,827.65 ",No,AFS,98.3604,NO
384895AJ7,,35000," 35,000,000.00 ",No,AFS,100.0000,NO
67590GAA7,US67590GAA76,35000," 35,000,000.00 ",No,AFS,98.9855,NO
04012LAB7,US04012LAB71,32854," 32,853,928.27 ",No,AFS,97.6622,NO
00191MAA8,,32000," 32,000,000.00 ",No,AFS,99.1697,NO
85431TAA4,US85431TAA43,30365," 30,365,258.29 ",No,AFS,96.9264,NO
31683VAA8,,30000," 30,000,000.00 ",No,AFS,99.4825,NO
00175LAA0,,30000," 30,000,000.00 ",No,AFS,99.7992,NO
00176DAA7,,30000," 30,000,000.00 ",No,AFS,99.5685,NO
87158YAC6,US87158YAC66,30000," 30,000,000.00 ",No,AFS,99.8828,NO
67104LAA5,US67104LAA52,30000," 30,000,000.00 ",No,AFS,99.1960,NO
36248MAA5,US36248MAA53,30000," 30,000,000.00 ",No,AFS,99.0958,NO
675919AA2,US675919AA23,28500," 28,500,000.00 ",No,AFS,97.1110,NO
363637AB5,,25000," 25,000,000.00 ",No,AFS,100.0000,NO
03761LAA4,US03761LAA44,25128," 25,127,737.05 ",No,AFS,99.7043,NO
44985YAA0,US44985YAA01,25000," 25,000,000.00 ",No,AFS,100.0000,NO
40536AAA4,,25000," 25,000,000.00 ",No,AFS,99.7660,NO
965249AA3,,25000," 25,000,000.00 ",No,AFS,99.9019,NO
50183UAH0,,20000," 20,000,000.00 ",No,AFS,100.0000,NO
64129KAC1,,20000," 20,000,000.00 ",No,AFS,99.6782,NO
14954TAA1,,20000," 20,000,000.00 ",No,AFS,99.3819,NO
219239AA8,US219239AA80,20000," 20,000,000.00 ",No,AFS,97.2132,NO
67400VAC0,,20000," 20,000,000.00 ",No,AFS,97.7880,NO
957160AA2,US957160AA21,16605," 16,604,537.39 ",No,AFS,97.6698,NO
64129FAP3,,19000," 19,000,000.00 ",No,AFS,100.0000,NO
64129FAR9,,18000," 18,000,000.00 ",No,AFS,100.0000,NO
15136PAA7,,17000," 17,000,000.00 ",No,AFS,98.8500,NO
03764UAC7,,15000," 15,000,000.00 ",No,AFS,99.7634,NO
05344AAN1,,15000," 15,000,000.00 ",No,AFS,100.0000,NO
42983MAA2,,15000," 15,000,000.00 ",No,AFS,100.0000,NO
96525UAA5,,15000," 15,000,000.00 ",No,AFS,99.3533,NO
23222TAA8,,15000," 15,000,000.00 ",No,AFS,99.6545,NO
08180EAA2,,15000," 15,000,000.00 ",No,AFS,98.7367,NO
62405TAA5,,15000," 15,000,000.00 ",No,AFS,97.5489,NO
87244DAA2,,15000," 15,000,000.00 ",No,AFS,98.0738,NO
92329NAA8,,15000," 15,000,000.00 ",No,AFS,97.9194,NO
42983MAB0,,15000," 15,000,000.00 ",No,AFS,98.0186,NO
62431UAC6,,14500," 14,500,000.00 ",No,AFS,98.3312,NO
05615MAA5,US05615MAA53,8628," 8,627,536.21 ",No,AFS,99.7042,NO
67105HAA3,,12000," 12,000,000.00 ",No,AFS,99.2938,NO
04012VAA7,US04012VAA70,9969," 9,969,086.26 ",No,AFS,98.3153,NO
36319VAA9,US36319VAA98,11500," 11,500,000.00 ",No,AFS,99.6737,NO
12627UAB7,,11500," 11,500,000.00 ",No,AFS,99.5263,NO
806713AC7,US806713AC79,11615," 11,614,504.48 ",No,AFS,98.3847,NO
19964LAA5,US19964LAA52,9257," 9,257,031.76 ",No,AFS,97.3481,NO
363637AC3,,10000," 10,000,000.00 ",No,AFS,100.0000,NO
443677AC3,USG4640LAB02,10000," 10,000,000.00 ",No,AFS,100.0000,NO
44986EAA3,US44986EAA38,10000," 10,000,000.00 ",No,AFS,99.7266,NO
053633AB9,,10000," 10,000,000.00 ",No,AFS,99.5361,NO
00163GAA5,US00163GAA58,10000," 10,000,000.00 ",No,AFS,99.7562,NO
50183JAB8,US50183JAB89,10000," 10,000,000.00 ",No,AFS,99.2402,NO
64129JAC4,,10000," 10,000,000.00 ",No,AFS,98.1708,NO
44985LAB6,US44985LAB62,9000," 9,000,000.00 ",No,AFS,98.9754,NO
199648AB2,US199648AB21,9000," 9,000,000.00 ",No,AFS,95.4924,NO
14844QAA1,US14844QAA13,6467," 6,467,274.67 ",No,AFS,99.2725,NO
38172NAA9,US38172NAA90,7998," 7,998,251.68 ",No,AFS,96.1030,NO
51829TAL2,,5862," 5,862,421.48 ",No,AFS,95.0991,NO
75157EAA0,US75157EAA01,8000," 8,000,000.00 ",No,AFS,96.2169,NO
000831AA5,US000831AA52,7020," 7,020,264.54 ",No,AFS,99.8565,NO
87158FAC7,,7000," 7,000,000.00 ",No,AFS,98.8174,NO
871557AA2,US871557AA25,6169," 6,169,302.86 ",No,AFS,96.9692,NO
48601MAJ2,US48601MAJ27,5543," 5,542,816.26 ",No,AFS,94.6250,NO
873189AB0,US873189AB00,5990," 5,990,000.00 ",No,AFS,93.6119,NO
66859AAA8,US66859AAA88,5457," 5,457,220.59 ",No,AFS,98.5774,NO
896223AE4,,5000," 5,000,000.00 ",No,AFS,97.3614,NO
82835AAE6,US82835AAE64,5000," 5,000,000.00 ",No,AFS,93.6366,NO
578470AB2,US578470AB29,1526," 1,525,519.81 ",No,AFS,99.1059,NO
09624SAG0,US09624SAG03,4046," 4,045,670.12 ",No,AFS,95.9304,NO
42823CAB6,US42823CAB63,2770," 2,770,389.40 ",No,AFS,99.1063,NO
804075AA7,US804075AA78,3801," 3,800,673.53 ",No,AFS,96.9935,NO
363206AA1,US363206AA10,4254," 4,253,775.54 ",No,AFS,96.2050,NO
92328WAM3,US92328WAM38,4038," 4,038,161.19 ",No,AFS,96.4240,NO
67073VAA0,US67073VAA08,2969," 2,969,081.56 ",No,AFS,98.8513,NO
53225WAA5,US53225WAA53,1848," 1,847,713.89 ",No,AFS,99.2350,NO
G0338MAA5,USG0338MAA56,824," 824,209.26 ",No,AFS,99.4711,NO
05615YAA9,US05615YAA91,3203," 3,203,299.26 ",No,AFS,99.9800,NO
965248AA5,US965248AA53,1173," 1,173,498.81 ",No,AFS,99.4574,NO
26358EAA0,US26358EAA01,2622," 2,621,787.57 ",No,AFS,98.6624,NO
62388XAA7,US62388XAA72,2647," 2,646,607.75 ",No,AFS,98.3595,NO
361803AC3,,2264," 2,263,606.76 ",No,AFS,99.9998,NO
363637AA7,,2250," 2,250,000.00 ",No,AFS,100.0000,NO
50182BAA8,US50182BAA89,1455," 1,454,802.90 ",No,AFS,98.5196,NO
269491AC0,,386," 385,818.01 ",No,AFS,97.7513,NO
62874GAA5,US62874GAA58,496," 495,828.85 ",No,AFS,99.2285,NO
BRSBZKHC9,USG2228MAA48,13367," 10,733,662.17 ",No,AFS,96.4000,NO
G54061AA7,USG54061AA78,8526," 8,525,567.89 ",No,AFS,98.2182,NO
G0032KAA8,USG0032KAA81,11579," 11,578,775.00 ",No,AFS,98.4523,NO
BNY08YSD1,USG1999AAA90,4619," 4,619,481.90 ",No,AFS,99.2801,NO
14955AAA1,,35000," 35,000,000.00 ",No,AFS,99.7020,NO
40538FAC7,,30000," 30,000,000.00 ",No,AFS,99.7002,NO
04962FAJ3,,10000," 10,000,000.00 ",No,AFS,100.0000,NO
67400XAB8,,10000," 10,000,000.00 ",No,AFS,98.0261,NO
40538FAA1,,4000," 4,000,000.00 ",No,AFS,100.0000,NO
67590RAC9,,45000," 45,000,000.00 ",No,AFS,99.6709,NO
67400XAA0,,40000," 40,000,000.00 ",No,AFS,100.0000,NO
05618LAA4,,40000," 40,000,000.00 ",No,AFS,99.9502,NO
3623413Y3,,17885," 17,884,714.36 ",Yes,AFS,69.5720,NO
46628LAW8,,2070," 2,069,524.21 ",Yes,AFS,73.3900,NO
05948XXW6,,243," 242,672.05 ",No,AFS,100.0000,NO
22541QZ96,,140," 139,785.95 ",No,AFS,100.0000,NO
22541QT77,,131," 131,189.64 ",Yes,AFS,91.7480,NO
12669DC89,US12669DC891,119," 118,771.18 ",No,AFS,100.0000,NO
06050HC63,,80," 80,386.91 ",No,AFS,100.0000,NO
589929D62,,269," 269,162.62 ",No,AFS,100.0000,NO
576433UE4,,60723," 60,722,926.16 ",No,AFS,98.6299,NO
05946XXP3,US05946XXP31,14283," 14,283,292.00 ",Yes,AFS,68.7120,NO
05949ARD4,US05949ARD45,8274," 8,274,270.76 ",Yes,AFS,97.3525,NO
05948XPJ4,US05948XPJ45,1071," 1,071,277.57 ",No,AFS,100.0000,NO
885220EW9,,8119," 8,118,711.19 ",No,AFS,100.0000,NO
59020UUK9,US59020UUK95,7789," 7,788,880.57 ",Yes,AFS,97.3247,NO
92922FBW7,US92922FBW77,5757," 5,757,387.51 ",No,AFS,99.3538,NO
9292274D5,,4872," 4,872,326.50 ",No,AFS,99.9929,NO
05949ADF4,,3101," 3,101,477.31 ",Yes,AFS,97.7690,NO
86359BAD3,,2031," 2,031,466.96 ",No,AFS,100.0000,NO
929227WQ5,,1803," 1,802,711.96 ",Yes,AFS,98.6520,NO
9292276K7,US9292276K70,1275," 1,274,767.61 ",No,AFS,99.6151,NO
0605067L0,,1132," 1,131,916.66 ",No,AFS,100.0000,NO
22541Q2A9,,987," 986,716.92 ",No,AFS,100.0000,NO
05948XKL4,,775," 775,440.97 ",No,AFS,100.0000,NO
36242DKV4,,1020," 1,020,026.40 ",Yes,AFS,74.4850,NO
05948JAG7,,651," 650,604.57 ",No,AFS,100.0000,NO
22541NXX2,,659," 659,408.37 ",Yes,AFS,78.5850,NO
86359AC43,,468," 467,889.00 ",Yes,AFS,83.2150,NO
06050HKP2,,430," 429,717.54 ",No,AFS,100.0000,NO
362341LC1,US362341LC13,1107," 1,107,307.03 ",Yes,AFS,97.0050,NO
05948XKX8,,723," 723,234.91 ",No,AFS,100.0000,NO
59024WAD9,US59024WAD92,9969," 9,969,103.80 ",No,AFS,99.3664,NO
94979WAA7,US94979WAA71,3779," 3,778,889.83 ",No,HTM,100.0000,NO
06050HXQ6,,1303," 1,303,465.00 ",No,AFS,100.0000,NO
0605067G1,US0605067G14,692," 691,718.43 ",No,AFS,100.0000,NO
362341DZ9,,12345," 12,344,876.26 ",Yes,AFS,78.6170,NO
05949QAB1,,3033," 3,033,035.21 ",Yes,AFS,25.1100,NO
36228FV94,US36228FV943,2280," 2,279,808.88 ",Yes,AFS,93.8740,NO
07387AEG6,US07387AEG67,12988," 12,988,398.12 ",Yes,AFS,89.3320,NO
05949CKQ8,,13253," 13,253,399.85 ",Yes,AFS,78.0250,NO
743873AY7,,9022," 9,022,109.45 ",Yes,AFS,91.7850,NO
05949QBK0,,13395," 13,395,003.59 ",Yes,AFS,45.8960,NO
94985TAA6,US94985TAA60,17355," 17,355,469.84 ",Yes,AFS,70.4830,NO
12543RAN9,US12543RAN98,15698," 15,698,417.95 ",Yes,AFS,50.9800,NO
05948XZC8,,521," 520,622.47 ",No,AFS,100.0000,NO
12544LAB7,US12544LAB71,15721," 15,720,557.45 ",Yes,AFS,32.0740,NO
12544VAF6,US12544VAF67,14336," 14,335,609.70 ",Yes,AFS,52.2960,NO
52521RBN0,US52521RBN08,19546," 19,545,772.61 ",Yes,AFS,55.1060,NO
362636BB7,US362636BB77,18564," 18,564,004.05 ",Yes,AFS,49.5960,NO
05951GAP7,US05951GAP72,15336," 15,336,307.76 ",Yes,AFS,62.1170,NO
3622MPBG2,US3622MPBG24,21960," 21,959,653.04 ",Yes,AFS,40.3275,NO
3622MWAV5,US3622MWAV50,16252," 16,251,521.24 ",Yes,AFS,47.7050,NO
52521RBR1,US52521RBR12,12623," 12,623,196.79 ",Yes,AFS,47.4420,NO
362334HJ6,,13344," 13,343,973.33 ",Yes,AFS,53.4900,NO
05950RBC2,US05950RBC25,9067," 9,066,699.95 ",Yes,AFS,64.6470,NO
05948XQ53,,369," 369,023.40 ",No,AFS,100.0000,NO
3623418F9,,12688," 12,688,085.88 ",Yes,AFS,53.3590,NO
126694MY1,,8376," 8,376,263.86 ",Yes,AFS,51.0850,NO
12544DAL3,US12544DAL38,7707," 7,707,166.47 ",Yes,AFS,21.8410,NO
362341WF2,,9761," 9,761,315.60 ",Yes,AFS,70.6320,NO
36298NAB0,US36298NAB01,13558," 13,557,655.30 ",Yes,AFS,43.2870,NO
9292275B8,US9292275B80,5351," 5,351,449.92 ",No,AFS,100.0000,NO
36242D6X6,,5301," 5,300,841.09 ",No,AFS,100.0896,NO
05952FAA1,US05952FAA12,7195," 7,194,695.47 ",Yes,AFS,61.7580,NO
3622X7AA4,US3622X7AA48,10293," 10,292,649.61 ",Yes,AFS,39.1240,NO
05948JAB8,US05948JAB89,386," 385,544.80 ",No,AFS,100.0000,NO
36298BAB6,,6320," 6,319,943.32 ",Yes,AFS,59.5920,NO
92922FGY8,,3404," 3,404,222.07 ",No,AFS,100.0000,NO
86359DNZ6,,3414," 3,413,510.04 ",Yes,AFS,26.3230,NO
3623418J1,,5157," 5,157,469.16 ",Yes,AFS,58.8920,NO
172973N21,,2920," 2,919,575.88 ",Yes,AFS,100.0031,NO
362341T25,,5111," 5,111,069.19 ",Yes,AFS,58.9790,NO
225458F52,,3301," 3,301,194.92 ",Yes,AFS,63.4760,NO
362341NF2,,2080," 2,079,728.75 ",Yes,AFS,77.2470,NO
61748HJE2,,886," 886,091.51 ",Yes,AFS,75.1170,NO
36242DVK6,,626," 626,242.52 ",Yes,AFS,97.3640,NO
05948XXX4,,332," 332,019.07 ",No,AFS,100.0000,NO
86359BK26,,477," 476,954.95 ",No,AFS,100.0114,NO
16162WRD3,,430," 430,335.37 ",Yes,AFS,50.6290,NO
36228FUN4,,640," 640,309.80 ",No,AFS,99.9997,NO
81375FCP6,,136," 136,197.78 ",No,AFS,100.0000,NO
55265KG29,,14," 13,982.64 ",No,AFS,99.8904,NO
126694HS0,,12565," 12,565,240.30 ",Yes,AFS,62.1530,NO
86359DJV0,,4314," 4,314,473.42 ",Yes,AFS,39.2330,NO
126694EN4,,6308," 6,307,642.70 ",Yes,AFS,59.5080,NO
15132EEB0,US15132EEB02,307," 306,517.40 ",No,AFS,99.9471,NO
74434TQ91,US74434TQ917,188," 188,229.73 ",No,AFS,100.0000,NO
05948XBN0,,206," 206,347.45 ",No,AFS,100.0000,NO
22541SDR6,,1947," 1,946,538.71 ",No,AFS,100.0000,NO
12669FKR3,,770," 770,373.06 ",Yes,AFS,98.1450,NO
05948XUT6,,257," 257,110.30 ",No,AFS,100.0000,NO
05948XKS9,,5733," 5,732,796.63 ",No,AFS,100.0000,NO
05948XEC1,,503," 503,065.24 ",No,AFS,100.0000,NO
059496BD0,US059496BD01,17484," 17,483,986.28 ",Yes,AFS,63.2710,NO
93934FHW5,US93934FHW59,10360," 10,359,902.04 ",Yes,AFS,66.4030,NO
