CUSIP,ISIN,Current Face in Local Currency in Thousand,Current Face in USD,99-20 or not,Intention,Book Price,Excluded from Analysis?
BRS2XB492,XS0183653756,2059," 3,337,718.45 ",No,HTM,100.0459,NO
BRS3TQH23,XS0286335996,55000," 69,484,250.00 ",No,AFS,97.7484,NO
13975DAD7,,5910," 5,910,000.00 ",No,AFS,99.9865,NO
13975FAD2,,3000," 3,000,000.00 ",No,AFS,99.9961,NO
139742AD2,,2500," 2,500,000.00 ",No,AFS,99.9978,NO
13975FAA8,,8000," 8,000,000.00 ",No,AFS,100.0000,NO
13975DAK1,,1627," 1,626,622.22 ",No,AFS,100.0000,NO
44890RAD3,,30000," 30,000,000.00 ",No,AFS,99.9818,NO
02005BAD8,,28260," 28,260,000.00 ",No,AFS,99.9897,NO
44890HAD5,,27000," 27,000,000.00 ",No,AFS,100.1955,NO
65476GAD4,,25136," 25,136,000.00 ",No,AFS,100.0189,NO
34529YAC0,,25045," 25,045,000.00 ",No,AFS,100.1161,NO
02006EAD1,,25000," 25,000,000.00 ",No,AFS,100.1258,NO
92867LAD4,,25000," 25,000,000.00 ",No,AFS,99.9784,NO
34530MAA7,,24000," 24,000,000.00 ",No,AFS,99.9768,NO
43813CAD2,,24000," 24,000,000.00 ",No,AFS,99.9998,NO
02005EAD2,,23821," 23,821,000.00 ",No,AFS,100.3979,NO
89231NAD5,,22000," 22,000,000.00 ",No,AFS,99.9970,NO
98158QAD8,,21000," 21,000,000.00 ",No,AFS,99.9757,NO
65477MAD0,,23100," 23,100,000.00 ",No,AFS,99.9886,NO
34530AAD7,,18410," 18,410,000.00 ",No,AFS,99.9933,NO
43813UAD2,US43813UAD28,18013," 18,013,000.00 ",No,AFS,100.6923,NO
44890KAD8,,18000," 18,000,000.00 ",No,AFS,99.9888,NO
02006AAD9,US02006AAD90,17834," 17,834,000.00 ",No,AFS,100.6135,NO
14313JAD3,,17446," 17,446,000.00 ",No,AFS,100.5304,NO
34530HAD2,,17000," 17,000,000.00 ",No,AFS,99.9787,NO
43813EAD8,,15270," 15,270,000.00 ",No,AFS,100.1231,NO
98157HAC1,,15000," 15,000,000.00 ",No,AFS,99.9898,NO
44614TAD4,,15000," 15,000,000.00 ",No,AFS,99.9999,NO
43813XAD6,,14710," 14,710,000.00 ",No,AFS,100.0761,NO
34529WAD2,,13242," 13,242,000.00 ",No,AFS,100.4778,NO
14312AAD3,US14312AAD37,11633," 11,633,000.00 ",No,AFS,100.9775,NO
34530GAE2,,14600," 14,600,000.00 ",No,AFS,99.9933,NO
43814EAD7,,11000," 11,000,000.00 ",No,AFS,99.9786,NO
14313KAD0,,10000," 10,000,000.00 ",No,AFS,99.9887,NO
14313MAD6,,9500," 9,500,000.00 ",No,AFS,99.9819,NO
587680AD1,,8560," 8,560,000.00 ",No,AFS,99.9920,NO
65475QAD3,US65475QAD34,8454," 8,454,000.00 ",No,AFS,101.1340,NO
02006CAC7,,7000," 7,000,000.00 ",No,AFS,100.1443,NO
98160KAD7,,7000," 7,000,000.00 ",No,AFS,99.9873,NO
31679GAD1,,4000," 4,000,000.00 ",No,AFS,99.9867,NO
65477LAD2,,4000," 4,000,000.00 ",No,AFS,99.9818,NO
14313NAD4,,4000," 4,000,000.00 ",No,AFS,99.9964,NO
44890LAD6,,4000," 4,000,000.00 ",No,AFS,99.9751,NO
89236RAD1,,4000," 4,000,000.00 ",No,AFS,99.9789,NO
90327BAD4,,3680," 3,680,000.00 ",No,AFS,99.9902,NO
44890QAD5,,3500," 3,500,000.00 ",No,AFS,99.9803,NO
34530EAD9,,3500," 3,500,000.00 ",No,AFS,99.9882,NO
34530DAD1,,3405," 3,405,000.00 ",No,AFS,99.9930,NO
43814FAD4,,3000," 3,000,000.00 ",No,AFS,99.9898,NO
58768WAD1,,2555," 2,555,000.00 ",No,AFS,99.9865,NO
14313PAD9,,2475," 2,475,000.00 ",No,AFS,99.9925,NO
43812XAD7,,2000," 2,000,000.00 ",No,AFS,99.9869,NO
98160NAD1,,2000," 2,000,000.00 ",No,AFS,99.9767,NO
92867PAD5,,1500," 1,500,000.00 ",No,AFS,99.9867,NO
02006MAD3,,1480," 1,480,000.00 ",No,AFS,99.9743,NO
03063XAD7,,13687," 13,686,565.87 ",No,AFS,100.0387,NO
03064XAC8,,2936," 2,935,747.54 ",No,AFS,99.9914,NO
03064XAE4,,2345," 2,345,000.00 ",No,AFS,99.9842,NO
02006MAH4,,1311," 1,311,304.83 ",No,AFS,100.0000,NO
03061UAC7,,12584," 12,583,989.44 ",No,AFS,100.2438,NO
80283GAC8,,12000," 12,000,000.00 ",No,AFS,99.9987,NO
80282WAE0,,11200," 11,200,000.00 ",No,AFS,100.2009,NO
03063WAE7,,10000," 10,000,000.00 ",No,AFS,99.9959,NO
80282XAC2,,2267," 2,267,391.09 ",No,AFS,100.1610,NO
80282XAE8,,6800," 6,800,000.00 ",No,AFS,99.9853,NO
03065BAC5,,6000," 6,000,000.00 ",No,AFS,99.9933,NO
03061UAE3,,5000," 5,000,000.00 ",No,AFS,99.9964,NO
03063WAD9,,5000," 5,000,000.00 ",No,AFS,99.9949,NO
80282UAC8,,2444," 2,443,853.99 ",No,AFS,99.9974,NO
80283CAC7,,211," 210,514.85 ",No,AFS,99.9975,NO
80281CAD7,,3400," 3,400,000.00 ",No,AFS,99.9991,NO
96041UAB8,,1432," 1,432,315.17 ",No,AFS,99.9951,NO
03065CAC3,,1725," 1,725,000.00 ",No,AFS,99.9950,NO
03065EAD7,,1700," 1,700,000.00 ",No,AFS,99.9904,NO
80283HAC6,,1480," 1,480,000.00 ",No,AFS,99.9923,NO
80281CAC9,,3428," 3,427,862.16 ",No,AFS,100.0000,NO
03065EAC9,,3295," 3,294,611.28 ",No,AFS,100.0000,NO
17305EFE0,US17305EFE05,24000," 24,000,000.00 ",No,AFS,100.7844,NO
17305EEE1,US17305EEE14,15000," 15,000,000.00 ",No,AFS,115.7612,NO
161571FK5,,15000," 15,000,000.00 ",No,AFS,99.9909,NO
254683AC9,US254683AC94,17756," 17,756,000.00 ",No,AFS,111.8667,NO
14041NDX6,US14041NDX66,15250," 15,250,000.00 ",No,AFS,112.5774,NO
17305EFC4,US17305EFC49,10000," 10,000,000.00 ",No,AFS,100.3551,NO
254683AY1,,10000," 10,000,000.00 ",No,AFS,99.9946,NO
17305EEW1,,9000," 9,000,000.00 ",No,AFS,99.9691,NO
17305EDY8,US17305EDY86,9100," 9,100,000.00 ",No,AFS,112.2631,NO
161571GC2,,6365," 6,365,000.00 ",No,AFS,99.9842,NO
14041NEM9,,6000," 6,000,000.00 ",No,AFS,99.9915,NO
161571FL3,,5000," 5,000,000.00 ",No,AFS,99.9986,NO
02582JGJ3,,1000," 1,000,000.00 ",No,AFS,99.9920,NO
161571GH1,,75000," 75,000,000.00 ",No,AFS,100.0000,NO
05522RCQ9,,75000," 75,000,000.00 ",No,AFS,100.0000,NO
17305EFB6,,58000," 58,000,000.00 ",No,AFS,100.0000,NO
161571GB4,,56000," 56,000,000.00 ",No,AFS,100.0000,NO
254683BG9,,50000," 50,000,000.00 ",No,AFS,100.0000,NO
254683BF1,,50500," 50,500,000.00 ",No,AFS,100.0000,NO
17305EFP5,,45000," 45,000,000.00 ",No,AFS,100.0000,NO
06742LAA1,,35000," 35,000,000.00 ",No,AFS,100.0000,NO
26250GAD8,,63000," 63,000,000.00 ",No,AFS,100.0445,NO
02587AAC8,US02587AAC80,30000," 30,000,000.00 ",No,AFS,99.9629,NO
02582JGG9,,23000," 23,000,000.00 ",No,AFS,100.0000,NO
32113CBD1,,20000," 20,000,000.00 ",No,AFS,100.0000,NO
02587AAE4,,15000," 15,000,000.00 ",No,AFS,100.0000,NO
14041NDT5,US14041NDT54,10900," 10,900,000.00 ",No,AFS,99.3144,NO
254683AW5,,10000," 10,000,000.00 ",No,AFS,100.0000,NO
161571FH2,,10000," 10,000,000.00 ",No,AFS,100.0000,NO
254683AX3,,10000," 10,000,000.00 ",No,AFS,100.0000,NO
161571FM1,,10000," 10,000,000.00 ",No,AFS,100.0000,NO
14041NCT6,US14041NCT63,10000," 10,000,000.00 ",No,AFS,98.6246,NO
161571BR4,US161571BR49,10000," 10,000,000.00 ",No,AFS,98.8681,NO
02587AAG9,US02587AAG94,9500," 9,500,000.00 ",No,AFS,100.0774,NO
17305EFA8,,9000," 9,000,000.00 ",No,AFS,100.0000,NO
254683BC8,,8000," 8,000,000.00 ",No,AFS,100.0000,NO
14041NDG3,US14041NDG34,7734," 7,734,000.00 ",No,AFS,99.4683,NO
161571CU6,US161571CU68,5000," 5,000,000.00 ",No,AFS,101.7074,NO
17305EEK7,US17305EEK73,4720," 4,720,000.00 ",No,AFS,101.7321,NO
14041NEK3,US14041NEK37,20000," 20,000,000.00 ",No,AFS,99.9256,NO
02587TAD5,,2000," 2,000,000.00 ",No,AFS,100.0000,NO
36159JDH1,,15000," 15,000,000.00 ",No,AFS,99.9709,NO
36159JDL2,,11000," 11,000,000.00 ",No,AFS,99.9550,NO
981464CJ7,US981464CJ72,10000," 10,000,000.00 ",No,AFS,105.5329,NO
36159JCS8,US36159JCS87,9540," 9,540,000.00 ",No,AFS,100.1609,NO
17308BAN8,US17308BAN82,9000," 9,000,000.00 ",No,AFS,103.9861,NO
981464DB3,US981464DB38,4000," 4,000,000.00 ",No,AFS,99.6758,NO
981464DX5,,3450," 3,450,000.00 ",No,AFS,99.9993,NO
981464DS6,US981464DS62,2515," 2,515,000.00 ",No,AFS,98.2667,NO
36159JDQ1,US36159JDQ13,1000," 1,000,000.00 ",No,AFS,97.6114,NO
36159JDB4,,19050," 19,050,000.00 ",No,AFS,100.0000,NO
02005ACS5,US02005ACS50,16210," 16,210,000.00 ",No,AFS,100.2661,NO
02005AAF5,US02005AAF57,10000," 10,000,000.00 ",No,AFS,104.2589,NO
34528QAQ7,US34528QAQ73,7518," 7,518,000.00 ",No,AFS,102.9912,NO
34528QCX0,US34528QCX07,5000," 5,000,000.00 ",No,AFS,99.9893,NO
34528QCW2,,73875," 73,875,000.00 ",No,AFS,100.1349,NO
02005AEA2,,50000," 50,000,000.00 ",No,AFS,100.0000,NO
02005ADN5,,40000," 40,000,000.00 ",No,AFS,100.0000,NO
34528QDF8,,32000," 32,000,000.00 ",No,AFS,100.0000,NO
02005ADU9,,28000," 28,000,000.00 ",No,AFS,100.0000,NO
34528QCE2,US34528QCE26,20500," 20,500,000.00 ",No,AFS,100.0175,NO
05564UAH3,US05564UAH32,15250," 15,250,000.00 ",No,AFS,100.1946,NO
02005ADE5,US02005ADE55,15000," 15,000,000.00 ",No,AFS,99.9060,NO
65474VAE1,,11000," 11,000,000.00 ",No,AFS,100.0000,NO
44921QAB2,US44921QAB23,5000," 5,000,000.00 ",No,AFS,100.0000,NO
36159LCF1,US36159LCF13,14165," 14,165,000.00 ",No,AFS,100.0456,NO
36159LCC8,US36159LCC81,10350," 10,350,000.00 ",No,AFS,100.0701,NO
63938PAH2,,28000," 28,000,000.00 ",No,AFS,100.0000,NO
